sport,city_tier,venue_cost,max_teams,team_size,format,has_sponsor,prize_percentage,tournament_days,optimal_entry_fee
volleyball,1,17000,8,6,league,1,75,2,3500
cricket,1,18000,4,12,league,1,75,3,5000
cricket,3,3500,12,13,knockout,0,60,1,500
badminton,2,13500,16,1,league+knockout,1,65,2,1500
basketball,3,3000,8,5,knockout,0,55,2,550
cricket,2,6000,20,12,league,0,55,4,1150
volleyball,1,15500,16,6,league,0,65,3,1700
basketball,1,7000,20,5,knockout,0,40,2,1000
basketball,3,2500,16,8,knockout,1,70,1,500
basketball,2,5000,12,8,league,0,50,4,900
cricket,1,25000,16,15,knockout,0,65,2,3412
cricket,2,7500,24,13,knockout,1,60,1,500
cricket,3,3000,8,15,league+knockout,1,70,2,1000
volleyball,2,4500,12,6,knockout,0,75,1,500
cricket,3,3000,20,13,league+knockout,0,55,2,500
cricket,3,3000,8,14,league,1,50,3,900
football,3,3500,16,9,league+knockout,0,65,5,500
football,1,19500,16,8,knockout,0,40,1,2000
cricket,3,4000,6,12,league+knockout,0,70,3,1300
basketball,2,4000,14,8,knockout,0,45,2,500
volleyball,1,19000,16,6,league,0,60,2,2000
kabaddi,1,13500,14,7,knockout,0,75,1,2350
cricket,3,2000,8,14,league+knockout,0,65,2,1000
kabaddi,1,11500,12,10,league+knockout,0,75,5,2500
cricket,2,8500,16,11,league,0,70,4,1500
cricket,3,4000,8,15,knockout,0,55,2,800
football,2,5500,8,11,knockout,0,60,2,1300
football,1,21000,16,10,knockout,0,45,1,2486
cricket,1,10000,8,13,knockout,1,55,2,2250
basketball,2,8000,32,5,league,0,75,3,1000
football,1,11500,16,8,league+knockout,0,55,4,2300
badminton,2,4500,24,1,knockout,0,65,2,500
badminton,1,19500,16,1,league,0,50,4,4500
kabaddi,1,13500,24,7,knockout,1,55,1,750
basketball,3,4000,16,6,league,1,55,2,400
kabaddi,1,16000,10,10,league,1,55,3,2800
kabaddi,3,3500,8,10,league+knockout,0,55,3,500
cricket,3,1500,16,14,knockout,0,75,2,500
badminton,1,14500,8,1,league+knockout,0,60,4,4429
cricket,2,7500,8,14,league,0,75,4,2200
volleyball,1,13000,32,7,league,0,45,4,1000
volleyball,2,13000,10,6,league,0,65,4,2000
basketball,2,5000,4,7,league,0,60,3,2300
basketball,2,10500,20,6,league+knockout,0,60,4,1427
football,2,6000,8,7,knockout,0,70,1,1300
basketball,1,14500,14,6,league,0,40,2,2500
volleyball,2,5500,8,6,knockout,0,70,2,900
basketball,3,3000,12,8,league+knockout,1,70,5,500
volleyball,1,16000,14,6,league+knockout,0,45,4,2500
basketball,1,14000,12,6,knockout,1,45,2,1750
kabaddi,1,8000,12,11,league+knockout,1,40,5,1350
badminton,3,3000,32,4,league+knockout,0,75,3,500
kabaddi,1,13000,16,10,knockout,1,70,1,1000
kabaddi,2,15000,8,10,league,0,70,2,3000
badminton,2,8000,8,4,league+knockout,0,45,5,1301
badminton,1,6500,32,1,knockout,1,55,1,400
football,1,14500,16,8,league,0,55,3,2800
volleyball,2,6500,8,7,league+knockout,0,40,4,1550
kabaddi,2,7000,6,12,league,1,55,2,1500
volleyball,2,11500,32,6,knockout,0,65,2,600
cricket,3,5000,8,13,league+knockout,0,70,3,1300
volleyball,1,24500,16,7,league+knockout,0,55,4,3100
cricket,1,17500,16,15,league,0,65,3,2500
football,2,5000,8,11,knockout,1,55,1,1000
football,2,7500,16,10,league,0,70,3,1000
football,2,4000,16,9,knockout,0,75,2,600
badminton,2,4500,10,2,league,0,50,3,1000
volleyball,1,9500,14,8,knockout,0,75,2,1300
badminton,1,10000,4,2,knockout,0,45,2,4000
kabaddi,1,19500,10,10,knockout,0,50,1,2250
cricket,3,4000,6,11,league,0,60,2,1500
kabaddi,2,4000,8,11,league+knockout,0,70,4,1076
badminton,2,8000,32,1,knockout,1,55,1,500
football,1,8500,4,10,knockout,0,70,2,5000
kabaddi,1,17000,8,12,knockout,0,50,2,3000
football,3,4000,6,8,league+knockout,1,60,5,1200
volleyball,2,5500,16,7,knockout,0,40,2,500
cricket,1,15500,20,15,league+knockout,0,40,4,2700
football,2,15000,24,8,league,1,65,4,1351
