sport,city_tier,current_registrations,days_since_open,total_days_available,max_teams,entry_fee,prize_pool,has_sponsor,format,fill_percentage,days_remaining,projected_registrations,fill_rate,label
volleyball,1,5,2,9,8,1200,40500,0,league,62.5,7,12.0,4.505,oversubscribed
football,1,6,8,18,16,550,12500,0,league,37.5,10,24.0,1.548,oversubscribed
football,1,2,4,17,8,2650,5000,1,league+knockout,25.0,13,12.0,1.791,oversubscribed
kabaddi,1,7,7,16,16,2350,21000,1,knockout,43.8,9,24.0,1.656,oversubscribed
cricket,2,7,6,10,20,2950,3500,0,league,35.0,4,14.8,0.739,wont_fill
football,2,9,11,12,24,550,8500,1,knockout,37.5,1,11.7,0.489,wont_fill
cricket,1,13,4,15,24,4250,11500,0,league+knockout,54.2,11,36.0,3.355,oversubscribed
basketball,2,3,12,17,12,2400,17000,0,league,25.0,5,5.8,0.487,wont_fill
cricket,1,7,4,7,16,4850,18500,1,knockout,43.8,3,24.0,1.544,oversubscribed
volleyball,1,4,2,15,16,550,49500,1,league+knockout,25.0,13,24.0,3.17,oversubscribed
basketball,3,4,14,14,8,400,6500,1,league,50.0,0,3.4,0.43,wont_fill
basketball,3,12,6,8,14,750,4500,0,league,85.7,2,17.3,1.236,oversubscribed
cricket,2,23,3,9,32,1000,9500,0,league+knockout,71.9,6,48.0,2.589,oversubscribed
football,3,14,7,14,16,1000,9000,0,league+knockout,87.5,7,24.0,1.614,oversubscribed
cricket,2,1,1,12,8,1250,3000,1,league,12.5,11,12.0,2.231,oversubscribed
cricket,2,3,8,9,14,1950,7000,0,knockout,21.4,1,3.6,0.256,wont_fill
kabaddi,2,5,1,8,16,750,9000,0,league,31.2,7,24.0,2.284,oversubscribed
football,2,6,4,7,8,700,2500,0,knockout,75.0,3,12.0,1.901,oversubscribed
cricket,3,1,16,20,8,200,3000,0,league+knockout,12.5,4,1.0,0.126,wont_fill
kabaddi,1,3,5,20,16,1000,40000,1,league,18.8,15,18.6,1.164,oversubscribed
badminton,1,1,6,21,14,2000,6500,0,league,7.1,15,6.6,0.471,wont_fill
football,2,2,5,6,16,2600,18000,0,league+knockout,12.5,1,2.3,0.147,wont_fill
badminton,1,6,8,14,16,1100,2500,0,knockout,37.5,6,14.9,0.932,will_fill
cricket,1,5,3,16,8,1800,30500,1,knockout,62.5,13,12.0,9.537,oversubscribed
basketball,3,3,11,14,16,650,2500,1,league+knockout,18.8,3,3.4,0.212,wont_fill
badminton,2,4,9,13,8,500,4000,0,league,50.0,4,7.3,0.918,will_fill
badminton,3,5,18,19,8,350,1500,1,league,62.5,1,4.8,0.602,wont_fill
cricket,3,3,1,9,8,200,6500,0,league,37.5,8,12.0,4.777,oversubscribed
cricket,2,22,4,9,24,1000,14500,0,league,91.7,5,36.0,2.647,oversubscribed
badminton,3,3,5,12,16,900,1000,1,league,18.8,7,6.3,0.393,wont_fill
kabaddi,2,13,1,12,24,1450,3500,1,league+knockout,54.2,11,36.0,5.656,oversubscribed
volleyball,2,4,1,15,20,1050,20000,1,league,20.0,14,30.0,3.567,oversubscribed
cricket,2,4,17,18,20,1100,9500,0,knockout,20.0,1,4.9,0.243,wont_fill
basketball,2,8,6,11,16,1650,21500,0,league+knockout,50.0,5,14.6,0.912,will_fill
volleyball,3,10,7,15,16,500,7500,0,league,62.5,8,20.8,1.298,oversubscribed
volleyball,3,3,3,5,10,1300,10500,0,league,30.0,2,4.1,0.411,wont_fill
football,2,10,2,10,32,2850,12000,0,league+knockout,31.2,8,48.0,1.739,oversubscribed
football,2,2,1,5,8,600,16000,0,knockout,25.0,4,12.0,2.752,oversubscribed
volleyball,2,4,1,5,8,2400,16000,0,knockout,50.0,4,12.0,3.152,oversubscribed
kabaddi,1,13,13,15,16,4650,30000,1,league,81.2,2,18.7,1.17,oversubscribed
volleyball,3,10,13,13,16,600,5000,0,league,62.5,0,10.6,0.663,wont_fill
badminton,2,5,7,12,8,550,14500,0,league,62.5,5,11.1,1.383,oversubscribed
kabaddi,1,3,5,5,12,3400,21500,1,league+knockout,25.0,0,2.7,0.221,wont_fill
kabaddi,2,5,8,12,20,400,13500,0,league,25.0,4,8.4,0.421,wont_fill
football,3,18,4,5,32,250,11000,0,league+knockout,56.2,1,21.7,0.677,wont_fill
badminton,2,7,9,17,10,1350,3500,0,knockout,70.0,8,15.0,1.605,oversubscribed
cricket,3,10,1,6,16,150,10500,0,knockout,62.5,5,24.0,6.052,oversubscribed
volleyball,1,5,13,13,14,1450,12500,1,league+knockout,35.7,0,6.1,0.434,wont_fill
badminton,2,7,2,11,12,1300,4500,0,league+knockout,58.3,9,18.0,3.053,oversubscribed
volleyball,2,17,3,6,32,600,17500,0,knockout,53.1,3,34.7,1.085,will_fill
kabaddi,1,7,5,19,16,2700,42500,1,league+knockout,43.8,14,24.0,2.229,oversubscribed
kabaddi,2,5,14,15,16,1450,16000,0,league+knockout,31.2,1,4.9,0.309,wont_fill
kabaddi,2,3,7,20,10,1450,20500,1,league,30.0,13,10.1,1.006,will_fill
cricket,2,3,16,18,8,2250,22000,1,knockout,37.5,2,5.4,0.679,wont_fill
badminton,1,4,16,16,10,3200,25000,1,league,40.0,0,4.7,0.468,wont_fill
cricket,2,4,4,10,16,2700,18000,0,knockout,25.0,6,16.1,1.008,will_fill
football,1,0,5,9,10,2900,47500,1,knockout,0.0,4,0.0,0.0,wont_fill
cricket,3,2,11,19,14,1100,2500,1,league,14.3,8,3.9,0.28,wont_fill
cricket,2,5,2,14,8,2000,21000,0,league,62.5,12,12.0,6.899,oversubscribed
basketball,2,4,10,18,10,700,8000,0,league+knockout,40.0,8,9.6,0.965,will_fill
cricket,1,2,4,5,6,2900,4000,0,knockout,33.3,1,3.7,0.614,wont_fill
kabaddi,1,1,7,11,8,1700,19500,1,knockout,12.5,4,2.3,0.285,wont_fill
badminton,2,9,4,19,24,1950,10000,0,league+knockout,37.5,15,36.0,1.639,oversubscribed
cricket,2,3,1,13,16,2650,20000,1,league+knockout,18.8,12,24.0,3.477,oversubscribed
volleyball,3,9,8,10,20,650,3500,1,league,45.0,2,12.9,0.645,wont_fill
cricket,2,3,3,8,10,1500,22500,1,league,30.0,5,13.5,1.348,oversubscribed
basketball,1,7,7,8,8,500,45000,1,knockout,87.5,1,12.0,1.513,oversubscribed
basketball,2,3,2,6,16,1500,15500,1,league+knockout,18.8,4,13.0,0.81,wont_fill
volleyball,2,2,5,5,8,750,16000,1,knockout,25.0,0,2.2,0.272,wont_fill
volleyball,1,3,16,20,12,3650,14500,1,league,25.0,4,4.3,0.357,wont_fill
cricket,1,7,9,21,12,2950,40500,0,league+knockout,58.3,12,18.0,2.593,oversubscribed
football,2,9,15,17,10,1300,19500,0,league,90.0,2,14.9,1.491,oversubscribed
badminton,2,7,5,17,20,2350,20500,0,league,35.0,12,26.4,1.322,oversubscribed
kabaddi,1,3,7,9,4,1100,33000,1,league+knockout,75.0,2,5.8,1.45,oversubscribed
kabaddi,2,13,11,17,20,2300,18500,0,league+knockout,65.0,6,16.5,0.827,will_fill
volleyball,2,7,4,7,8,700,15500,0,knockout,87.5,3,12.0,2.143,oversubscribed
badminton,3,6,4,9,12,450,3500,0,knockout,50.0,5,13.2,1.101,will_fill
kabaddi,2,9,4,9,24,1350,23000,0,knockout,37.5,5,21.1,0.881,will_fill
badminton,2,6,10,16,12,1300,16000,1,knockout,50.0,6,13.4,1.119,will_fill
kabaddi,3,9,10,16,12,1450,7000,0,knockout,75.0,6,12.3,1.024,will_fill
volleyball,3,14,10,20,24,800,4000,0,league+knockout,58.3,10,24.1,1.006,will_fill
