sport,city_tier,num_teams,num_matches,venue_capacity,team_size,tournament_days,has_existing_sponsor,format,sponsorship_tier,estimated_reach,cost_per_person,players_reach,family_reach,venue_reach,wom_reach,social_reach
volleyball,1,8,28,500,6,2,0,league,gold,1869,13.38,48,56,497,247,318
basketball,1,16,120,1500,5,4,1,league,gold,18212,1.37,80,102,4250,1794,2153
football,1,8,17,1050,11,5,0,league+knockout,silver,17624,0.85,88,173,4012,412,2895
kabaddi,1,16,15,1050,7,1,1,knockout,bronze,1429,4.9,112,155,638,205,308
football,3,12,11,150,11,2,0,knockout,bronze,786,8.91,132,250,146,126,45
volleyball,1,8,28,1600,6,3,1,league,silver,6514,2.3,48,71,2974,247,1195
badminton,2,24,23,900,2,2,0,knockout,silver,1601,9.37,48,67,997,177,312
football,1,8,28,1500,11,5,0,league,silver,17668,0.85,88,182,4733,664,3058
cricket,1,16,15,1100,11,2,0,knockout,silver,6894,2.18,176,383,1579,471,1221
volleyball,2,16,120,800,6,4,0,league,gold,5507,4.54,96,127,1438,1060,714
badminton,3,14,51,350,2,5,1,league+knockout,gold,2157,11.59,28,39,602,215,110
basketball,3,14,91,250,5,4,0,league,gold,2183,11.45,70,97,407,431,120
cricket,3,8,28,350,11,3,0,league,silver,3164,4.74,88,215,535,324,140
volleyball,2,12,66,550,6,5,1,league,silver,2910,5.15,72,96,1154,372,332
basketball,1,6,5,750,5,1,1,knockout,silver,1069,14.03,30,50,419,59,272
football,2,24,276,400,11,5,1,league,silver,15123,0.99,264,431,1028,4477,468
kabaddi,3,16,15,100,7,2,1,knockout,silver,685,21.9,112,195,75,86,42
football,2,8,7,600,11,1,0,knockout,bronze,1164,6.01,88,182,391,145,229
football,1,8,28,400,11,3,0,league,silver,4643,3.23,88,181,792,761,471
kabaddi,2,20,190,650,7,3,0,league,silver,6256,2.4,140,205,925,2294,298
badminton,1,14,91,600,2,2,1,league,bronze,2407,2.91,28,34,667,972,422
football,2,16,67,200,11,3,0,league+knockout,silver,5564,2.7,176,325,356,1370,166
volleyball,2,8,7,600,6,2,1,knockout,silver,891,16.84,48,73,462,53,201
cricket,1,8,7,450,11,1,0,knockout,bronze,1571,4.46,88,174,387,236,279
volleyball,2,16,120,250,6,3,0,league,bronze,1421,4.93,96,145,368,715,153
football,2,16,15,650,11,2,1,knockout,gold,3595,6.95,176,350,667,242,277
cricket,2,32,31,600,11,2,0,knockout,gold,6883,3.63,352,684,910,734,379
cricket,3,8,28,200,11,4,1,league,gold,4487,5.57,88,211,466,453,101
football,2,16,15,800,11,1,1,knockout,bronze,1716,4.08,176,292,421,290,183
kabaddi,1,10,45,1950,7,3,0,league,bronze,8193,0.85,70,122,3409,817,2325
football,1,10,26,750,11,4,0,league+knockout,bronze,7925,0.88,110,180,2022,732,1501
badminton,2,16,120,500,2,2,0,league,bronze,1768,3.96,32,51,444,1064,155
cricket,2,20,19,650,11,1,0,knockout,silver,3118,4.81,220,495,399,453,165
basketball,2,16,67,600,5,3,1,league+knockout,gold,5488,4.56,80,135,977,696,311
badminton,2,10,45,700,2,3,0,league,silver,2325,6.45,20,29,998,364,311
basketball,2,4,6,600,5,4,0,league,gold,3481,7.18,20,29,1141,57,547
volleyball,1,16,15,1000,6,1,1,knockout,silver,1364,11.0,96,139,601,132,314
cricket,1,16,67,1250,11,6,1,league+knockout,bronze,28280,0.25,176,396,6245,1931,3319
football,2,16,15,250,11,2,0,knockout,bronze,1434,4.88,176,346,313,248,192
cricket,2,16,67,750,11,5,1,league+knockout,bronze,13705,0.51,176,433,2582,1606,1051
basketball,2,24,23,900,5,1,1,knockout,silver,1571,9.55,120,168,511,219,202
kabaddi,1,8,7,1400,7,1,0,knockout,gold,2502,9.99,56,82,988,118,424
kabaddi,2,6,15,550,7,2,1,league,bronze,1410,4.96,42,73,583,122,216
kabaddi,3,12,38,350,7,4,0,league+knockout,silver,2254,6.65,84,125,596,242,165
kabaddi,2,24,149,700,7,3,1,league+knockout,bronze,5373,1.3,168,276,1217,1274,504
kabaddi,1,10,9,1000,7,2,0,knockout,silver,2872,5.22,70,127,1297,161,738
volleyball,2,10,26,950,6,3,1,league+knockout,silver,3038,4.94,60,92,1176,142,372
football,2,32,31,400,11,2,0,knockout,silver,3484,4.31,352,654,508,420,389
badminton,1,10,9,1050,2,2,1,knockout,silver,2370,6.33,20,25,1334,107,630
volleyball,3,16,67,350,6,3,0,league+knockout,gold,1806,13.84,96,127,364,302,92
kabaddi,3,32,31,450,7,2,1,knockout,silver,1837,8.17,224,351,413,258,121
basketball,3,20,190,200,5,3,1,league,silver,2733,5.49,100,131,268,994,79
basketball,2,14,13,650,5,1,0,knockout,gold,1141,21.91,70,97,316,131,180
basketball,1,8,17,1300,5,4,1,league+knockout,silver,10234,1.47,40,63,3349,265,1409
football,2,16,15,700,11,2,0,knockout,silver,2834,5.29,176,340,781,278,314
badminton,1,10,45,1850,2,3,0,league,silver,7767,1.93,20,30,3185,480,2038
basketball,1,8,7,650,5,2,0,knockout,gold,2104,11.88,40,61,780,118,465
volleyball,3,16,120,50,6,4,0,league,gold,1206,20.73,96,127,65,419,45
kabaddi,1,14,13,1700,7,1,0,knockout,silver,2840,5.28,98,171,1291,158,649
basketball,3,20,190,300,5,5,0,league,gold,4817,5.19,100,147,667,1419,149
basketball,1,8,17,1600,5,4,0,league+knockout,bronze,7753,0.9,40,52,3795,237,1675
kabaddi,2,10,45,850,7,4,1,league,gold,8319,3.01,70,110,1984,589,915
volleyball,2,8,17,400,6,4,1,league+knockout,gold,2226,11.23,48,71,631,102,228
volleyball,3,12,38,200,6,6,1,league+knockout,silver,1346,11.14,72,97,432,135,80
kabaddi,2,4,6,850,7,2,1,league,gold,3146,7.95,28,47,869,50,393
kabaddi,2,8,28,600,7,5,1,league,bronze,3410,2.05,56,89,1605,275,481
football,2,10,45,1000,11,2,0,league,bronze,4224,1.66,110,187,1112,934,438
basketball,3,24,23,100,5,1,0,knockout,silver,583,25.73,120,187,40,134,26
badminton,2,12,38,250,2,3,1,league+knockout,silver,1335,11.24,24,35,340,227,143
basketball,2,20,19,250,5,1,0,knockout,gold,946,26.43,100,160,131,162,105
kabaddi,1,12,66,1350,7,3,1,league,bronze,8455,0.83,84,125,2940,967,2097
basketball,1,16,15,1500,5,2,1,knockout,bronze,3470,2.02,80,118,1928,187,1279
kabaddi,2,8,7,750,7,2,0,knockout,silver,1525,9.84,56,97,707,85,326
kabaddi,2,20,190,650,7,2,0,league,bronze,3754,1.86,140,255,678,1642,375
cricket,2,16,120,800,11,3,0,league,silver,13161,1.14,176,420,1478,2752,590
cricket,3,20,104,200,11,6,1,league+knockout,silver,9015,1.66,220,417,542,1496,210
football,2,8,28,250,11,5,0,league,silver,3021,4.97,88,149,627,429,199
badminton,2,16,15,950,2,1,0,knockout,silver,887,16.91,32,39,524,114,178
basketball,1,8,28,300,5,5,1,league,gold,3886,6.43,40,63,864,370,451
basketball,1,16,67,900,5,4,1,league+knockout,silver,8331,1.8,80,133,2037,857,1066
badminton,3,32,31,200,2,1,0,knockout,silver,383,39.16,64,95,82,108,34
kabaddi,3,20,104,450,7,5,0,league+knockout,gold,5308,4.71,140,203,886,792,262
volleyball,3,24,276,200,6,5,0,league,silver,2869,5.23,144,187,319,1496,91
kabaddi,1,16,15,1400,7,2,1,knockout,bronze,4000,1.75,112,166,2053,227,1410
volleyball,3,14,51,450,6,4,1,league+knockout,platinum,3592,13.92,84,121,748,283,216
badminton,1,8,7,1050,2,2,0,knockout,gold,2831,8.83,16,25,1477,57,690
cricket,2,10,26,800,11,3,0,league+knockout,silver,8869,1.69,110,239,1697,604,529
cricket,3,14,13,300,11,1,0,knockout,platinum,2503,19.98,154,326,179,193,75
basketball,2,12,11,650,5,2,1,knockout,platinum,2400,20.83,60,84,720,91,287
football,3,16,15,400,11,2,0,knockout,silver,1858,8.07,176,295,419,193,156
cricket,2,16,120,950,11,4,0,league,platinum,23128,2.16,176,344,2579,2033,1213
football,2,8,17,950,11,3,0,league+knockout,bronze,5936,1.18,88,181,1937,291,907
cricket,2,4,3,400,11,2,0,knockout,bronze,1100,6.36,44,90,469,62,150
cricket,2,16,67,650,11,4,1,league+knockout,gold,19139,1.31,176,334,1884,1713,793
kabaddi,2,32,31,600,7,1,0,knockout,bronze,1245,5.62,224,402,286,265,206
cricket,1,16,120,1100,11,4,0,league,silver,23629,0.63,176,399,2994,4042,2113
volleyball,3,24,276,150,6,5,0,league,silver,2151,6.97,144,192,264,991,86
volleyball,1,16,67,500,6,3,0,league+knockout,silver,3675,4.08,96,114,919,790,577
basketball,3,16,120,500,5,5,1,league,silver,4095,3.66,80,128,1145,756,246
basketball,2,14,13,500,5,2,0,knockout,bronze,845,8.28,70,98,477,120,215
basketball,2,4,6,1000,5,4,0,league,bronze,3692,1.9,20,28,2263,70,790
football,3,12,66,350,11,2,0,league,gold,3627,6.89,132,240,307,677,77
badminton,2,16,67,200,2,4,0,league+knockout,platinum,2578,19.39,32,46,417,427,187
kabaddi,2,8,28,500,7,5,0,league,silver,3839,3.91,56,94,1418,306,496
football,2,4,6,350,11,3,1,league,gold,2770,9.03,44,74,544,101,214
football,2,14,91,1000,11,4,0,league,bronze,7091,0.99,154,307,2015,1161,1032
badminton,2,16,120,250,2,5,0,league,silver,2684,5.59,32,42,676,915,323
badminton,1,8,17,1350,2,3,0,league+knockout,silver,5616,2.67,16,21,2374,159,1053
basketball,2,8,28,500,5,3,0,league,bronze,1648,4.25,40,54,709,283,329
volleyball,1,16,67,1450,6,6,1,league+knockout,silver,14625,1.03,96,144,5183,850,2595
volleyball,2,14,91,950,6,4,0,league,silver,3553,4.22,84,108,1500,643,435
badminton,3,24,23,350,2,2,0,knockout,bronze,452,15.49,48,68,291,124,72
basketball,2,14,13,200,5,2,0,knockout,gold,901,27.75,70,118,199,138,102
football,1,32,496,1550,11,3,0,league,silver,40186,0.37,352,713,3195,13425,2160
cricket,3,6,15,400,11,5,0,league,platinum,6834,7.32,66,155,1097,244,313
